,id1,id2,score
0,101,550,1.0
1,101,593,1.0
2,101,498,1.0
3,101,102,1.0
4,102,550,1.0
5,102,593,1.0
6,102,498,1.0
7,102,101,1.0
8,103,134,1.0
9,103,499,1.0
10,103,745,1.0
11,103,224,1.0
12,103,133,1.0
13,103,104,1.0
14,104,134,1.0
15,104,499,1.0
16,104,745,1.0
17,104,224,1.0
18,104,133,1.0
19,104,103,1.0
20,105,106,1.0
21,106,105,1.0
22,107,108,1.0
23,108,107,1.0
24,111,278,1.0
25,111,392,1.0
26,111,408,1.0
27,111,419,1.0
28,111,429,1.0
29,111,413,1.0
30,111,393,1.0
31,111,391,1.0
32,111,277,1.0
33,111,186,1.0
34,116,697,1.0
35,116,645,1.0
36,116,541,1.0
37,117,180,1.0
38,117,563,1.0
39,117,601,1.0
40,117,603,1.0
41,117,627,1.0
42,117,602,1.0
43,117,600,1.0
44,117,543,1.0
45,117,82,1.0
46,117,81,1.0
47,118,533,1.0
48,118,306,1.0
49,118,165,1.0
50,119,599,1.0
51,119,612,1.0
52,119,610,1.0
53,119,303,1.0
54,119,85,1.0
55,120,637,1.0
56,120,652,1.0
57,120,746,1.0
58,120,724,1.0
59,120,647,1.0
60,120,545,1.0
61,120,183,1.0
62,121,692,1.0
63,121,693,1.0
64,121,547,1.0
65,121,249,1.0
66,125,346,1.0
67,125,377,1.0
68,125,414,1.0
69,125,425,1.0
70,125,453,1.0
71,125,415,1.0
72,125,378,1.0
73,125,358,1.0
74,125,338,1.0
75,125,324,1.0
76,131,677,1.0
77,131,227,1.0
78,131,226,1.0
79,132,723,1.0
80,132,744,1.0
81,132,635,1.0
82,132,567,1.0
83,133,134,1.0
84,133,499,1.0
85,133,745,1.0
86,133,224,1.0
87,133,104,1.0
88,133,103,1.0
89,134,133,1.0
90,134,499,1.0
91,134,745,1.0
92,134,224,1.0
93,134,104,1.0
94,134,103,1.0
95,144,738,1.0
96,149,379,1.0
97,149,153,1.0
98,150,154,1.0
99,151,155,1.0
100,152,156,1.0
101,153,379,1.0
102,153,149,1.0
103,154,150,1.0
104,155,151,1.0
105,156,152,1.0
106,157,164,1.0
107,158,161,1.0
108,159,162,1.0
109,160,163,1.0
110,161,158,1.0
111,162,159,1.0
112,163,160,1.0
113,164,157,1.0
114,165,533,1.0
115,165,306,1.0
116,165,118,1.0
117,166,535,1.0
118,166,308,1.0
119,167,537,1.0
120,167,310,1.0
121,168,536,1.0
122,168,309,1.0
123,169,534,1.0
124,169,307,1.0
125,170,201,1.0
126,170,271,1.0
127,170,273,1.0
128,170,279,1.0
129,170,280,1.0
130,170,274,1.0
131,170,272,1.0
132,170,219,1.0
133,170,185,1.0
134,170,173,1.0
135,171,172,1.0
136,172,171,1.0
137,173,201,1.0
138,173,271,1.0
139,173,273,1.0
140,173,279,1.0
141,173,280,1.0
142,173,274,1.0
143,173,272,1.0
144,173,219,1.0
145,173,185,1.0
146,173,170,1.0
147,174,80,1.0
148,174,240,1.0
149,174,242,1.0
150,174,301,1.0
151,174,340,1.0
152,174,300,1.0
153,174,241,1.0
154,174,239,1.0
155,174,177,1.0
156,174,175,1.0
157,175,80,1.0
158,175,240,1.0
159,175,242,1.0
160,175,301,1.0
161,175,340,1.0
162,175,300,1.0
163,175,241,1.0
164,175,239,1.0
165,175,177,1.0
166,175,174,1.0
167,176,618,1.0
168,176,706,1.0
169,176,731,1.0
170,176,730,1.0
171,176,667,1.0
172,176,615,1.0
173,176,539,1.0
