,analysis1,id1,analysis2,id2,similarity
206,Alexi_1997_sections_calretinin_neurons_quantitation,542,Alexi_1997_sections_GAD_neurons_quantitation,544,0.5
207,Rymar_2004_sections_CR_neurons_quantitation,691,Barcia_2012_sections_nNOS_neurons_quantitation,303,0.5
208,Rymar_2004_sections_CR_neurons_quantitation,691,Alexi_1997_sections_calretinin_neurons_quantitation,542,0.5
209,Leventhal_2002_sections_DARPP_neurons_quantitation,648,Lee_2002_sections_PV_neurons_quantitation,647,0.5
210,Leventhal_2002_sections_DARPP_neurons_quantitation,648,Alexi_1997_sections_GAD_neurons_quantitation,544,0.5
211,Luk_2001_sections_PV_neurons_quantitation,652,Saraceno_2012_sections_cb_neurons_quantitation,697,0.5
212,Larsson_2001_sections_TrkA_neurons_quantitation,638,Larsson_2001_sections_PV_neurons_quantitation,637,0.5
213,Larsson_2001_sections_TrkA_neurons_quantitation,638,Larsson_2001_sections_NPY_neurons_quantitation,635,0.5
214,Kerkerian_1990_sections_NPY_neurons_quantitation,132,Salin_1990_sections_som_neurons_quantitation,692,0.5
215,Alexi_1997_sections_parv_neurons_quantitation,545,Lee_2002_sections_PV_neurons_quantitation,647,0.5
216,Alexi_1997_sections_parv_neurons_quantitation,545,Alexi_1997_sections_GAD_neurons_quantitation,544,0.5
217,Lee_2002_sections_CR_neurons_quantitation,646,Lee_2002_sections_PV_neurons_quantitation,647,0.5
218,Lee_2002_sections_CR_neurons_quantitation,646,Alexi_1997_sections_GAD_neurons_quantitation,544,0.5
219,Larsson_2001_sections_p75_neurons_quantitation,636,Larsson_2001_sections_ChAT_neurons_quantitation,633,0.5
220,Larsson_2001_sections_p75_neurons_quantitation,636,Rodrigues_2001_sections_TH_striatal_boutons_quantitation,687,0.5
221,Lee_2002_sections_CB_neurons_quantitation,645,Lee_2002_sections_PV_neurons_quantitation,647,0.5
222,Lee_2002_sections_CB_neurons_quantitation,645,Alexi_1997_sections_GAD_neurons_quantitation,544,0.5
223,Larsson_2001_sections_NPY_neurons_quantitation,635,Larsson_2001_sections_PV_neurons_quantitation,637,0.5
224,Larsson_2001_sections_NPY_neurons_quantitation,635,Larsson_2001_sections_TrkA_neurons_quantitation,638,0.5
225,Salin_1990_sections_som_neurons_quantitation,692,Kerkerian_1990_sections_NPY_neurons_quantitation,132,0.5
226,Luk_2001_sections_PV_neurons_distribution,746,Saraceno_2012_sections_cb_neurons_quantitation,697,0.5
227,Johnston_1987_sections_chat_neurons_quantitation,627,Meredith_1989_sections_single_ChAT_neurons_quantitation,178,0.5
228,Johnston_1987_sections_chat_neurons_quantitation,627,Meredith_1989_sections_single_ChAT_neurons_distribution,179,0.5
229,Rodrigues_2001_sections_TH_striatal_boutons_quantitation,687,Larsson_2001_sections_ChAT_neurons_quantitation,633,0.5
230,Rodrigues_2001_sections_TH_striatal_boutons_quantitation,687,Larsson_2001_sections_p75_neurons_quantitation,636,0.5
231,Cao_2013_males_sections_olig_cells_quantitation,560,Lee_2002_sections_PV_neurons_quantitation,647,0.5
232,Larsson_2001_sections_ChAT_neurons_quantitation,633,Rodrigues_2001_sections_TH_striatal_boutons_quantitation,687,0.5
233,Larsson_2001_sections_ChAT_neurons_quantitation,633,Larsson_2001_sections_p75_neurons_quantitation,636,0.5
234,Larsson_2001_sections_DARPP_neurons_quantitation,634,Rodrigues_2001_sections_TH_striatal_boutons_quantitation,687,0.5
235,Larsson_2001_sections_DARPP_neurons_quantitation,634,Larsson_2001_sections_p75_neurons_quantitation,636,0.5
236,Saraceno_2012_sections_cb_neurons_quantitation,697,Luk_2001_sections_PV_neurons_distribution,746,0.5
237,Saraceno_2012_sections_cb_neurons_quantitation,697,Luk_2001_sections_PV_neurons_quantitation,652,0.5
238,Barcia_2012_sections_nNOS_neurons_quantitation,303,Mu_2014_sections_D2_spines_quantitation,655,0.5
239,Barcia_2012_sections_nNOS_neurons_quantitation,303,Rymar_2004_sections_CR_neurons_quantitation,691,0.5
240,Alexi_1997_sections_ChAT_neurons_quantitation,543,Lee_2002_sections_PV_neurons_quantitation,647,0.5
241,Alexi_1997_sections_ChAT_neurons_quantitation,543,Alexi_1997_sections_GAD_neurons_quantitation,544,0.5
242,Larsson_2001_sections_PV_neurons_quantitation,637,Larsson_2001_sections_NPY_neurons_quantitation,635,0.5
243,Larsson_2001_sections_PV_neurons_quantitation,637,Larsson_2001_sections_TrkA_neurons_quantitation,638,0.5
244,Mu_2014_sections_D2_spines_quantitation,655,Barcia_2012_sections_nNOS_neurons_quantitation,303,0.5
245,Mu_2014_sections_D2_spines_quantitation,655,Rymar_2004_sections_CR_neurons_quantitation,691,0.5
246,Guan_1999_sections_calb_neurons_quantitation,116,Larsson_2001_sections_NPY_neurons_quantitation,635,0.5
247,Guan_1999_sections_calb_neurons_quantitation,116,Larsson_2001_sections_TrkA_neurons_quantitation,638,0.5
248,Alexi_1997_sections_calb_neurons_quantitation,541,Lee_2002_sections_PV_neurons_quantitation,647,0.5
249,Alexi_1997_sections_calb_neurons_quantitation,541,Alexi_1997_sections_GAD_neurons_quantitation,544,0.5
250,Lohr_2000_sections_cholinergic_neurons_quantitation,650,Larsson_2001_sections_NPY_neurons_quantitation,635,0.5
251,Cao_2013_females_sections_olig_cells_quantitation,559,Lee_2002_sections_PV_neurons_quantitation,647,0.5
252,Meredith_1989_sections_single_ChAT_neurons_distribution,179,Johnston_1987_sections_chat_neurons_quantitation,627,0.5
253,Chang_2010_sections_ENK_neurons_quantitation,83,Chang_2010_sections_DYN_neurons_quantitation,84,0.5
254,Meredith_1989_sections_single_ChAT_neurons_quantitation,178,Johnston_1987_sections_chat_neurons_quantitation,627,0.5
255,Chang_2010_sections_DYN_neurons_quantitation,84,Chang_2010_sections_ENK_neurons_quantitation,83,0.5
256,Gomide_2005b_sections_GFAP_cells_quantitation,451,Gomide_2005b_sections_OX-42_cells_quantitation,452,0.5
257,Walker_2012b_sections_Thneg_neurons_quantitation,490,Johnson_2010b_rat_sections_Thneg_neurons_quantitation,359,0.5
258,Rodrigues_2001_sections_TH_neurons_quantitation,481,Walker_2012b_sections_Thneg_neurons_quantitation,490,0.5
259,Rodrigues_2001_sections_TH_neurons_quantitation,481,Rodrigues_2001_sections_TH_striatal_boutons_quantitation,687,0.5
260,Grieb_2013_sections_TH_cells_quantitation,338,Park_2006_TH_nissl_sections_neurons_quantitation,474,0.5
261,Grieb_2013_sections_TH_cells_quantitation,338,Rodrigues_2001_sections_TH_neurons_quantitation,481,0.5
262,Gomide_2005b_sections_OX-42_cells_quantitation,452,Gomide_2005b_sections_GFAP_cells_quantitation,451,0.5
263,Park_2006_TH_nissl_sections_neurons_quantitation,474,Grieb_2013_sections_TH_cells_quantitation,338,0.5
264,Park_2006_TH_nissl_sections_TH_neurons_quantitation,475,Grieb_2013_sections_TH_cells_quantitation,338,0.5
265,Omelchenko_2016_sections_TH_neurons_quantitation,471,Vu_2000_pilot_sections_TH_neurons_quantitation,414,0.5
266,Vu_2000_pilot_sections_TH_neurons_quantitation,414,Rodrigues_2001_sections_TH_neurons_quantitation,481,0.5
267,Wild_2013_sections_th_neurons_quantitation,493,Omelchenko_2016_sections_TH_neurons_quantitation,471,0.5
268,Wild_2013_sections_th_neurons_quantitation,493,Walker_2012b_sections_Thneg_neurons_quantitation,490,0.5
269,Oorschot_1996_sections_neurons_quantitation,376,Gomide_2005b_sections_OX-42_cells_quantitation,452,0.5
270,Oorschot_1996_sections_neurons_quantitation,376,Gomide_2005b_sections_GFAP_cells_quantitation,451,0.5
271,Hardman_2002_sections_TH_cells_quantitation,125,Passos_2012_sections_TH_neurons_quantitation,380,0.5
272,Wouterlood_2012_sections_vgat_terminals_quantitation,260,Wouterlood_2012_sections_vglut2_distribution,263,0.5
273,Savchenko_2000_sections_S100-b_cells_quantitation,221,Savchenko_2000_sections_PT_cells_quantitation,223,0.5
274,Savchenko_2000_sections_S100-b_cells_quantitation,221,Savchenko_2000_sections_LC1_cells_quantitation,222,0.5
275,Oestergaard_1995_sections_SS-immun_neurons_quantitation,195,Oestergaard_1995_sections_NPY-immun_neurons_quantitation,196,0.5
276,Wouterlood_2012_sections_vgat_terminals_distribution,261,Wouterlood_2012_sections_vglut2_distribution,263,0.5
277,Wouterlood_2012_sections_vglut2_distribution,263,Wouterlood_2012_sections_vgat_terminals_quantitation,260,0.5
278,Savchenko_2000_sections_LC1_cells_quantitation,222,Savchenko_2000_sections_PT_cells_quantitation,223,0.5
279,Savchenko_2000_sections_LC1_cells_quantitation,222,Savchenko_2000_sections_S100-b_cells_quantitation,221,0.5
280,Oestergaard_1995_sections_NPY-immun_neurons_quantitation,196,Oestergaard_1995_sections_SS-immun_neurons_quantitation,195,0.5
281,Savchenko_2000_sections_PT_cells_quantitation,223,Savchenko_2000_sections_LC1_cells_quantitation,222,0.5
282,Savchenko_2000_sections_PT_cells_quantitation,223,Savchenko_2000_sections_S100-b_cells_quantitation,221,0.5
283,Liu_2004_sections_FGF2_cells_quantitation,367,Liu_2004_sections_FGF1_neurons_quantitation,366,0.5
284,Bowenkamp_2000_old_sections_TH_neurons_quantitation,430,vanBregt_2012_th_sections_neurons_quantitation,408,0.5
285,vanBregt_2012_th_sections_neurons_quantitation,408,Bowenkamp_2000_adult_sections_TH_neurons_quantitation,429,0.5
286,vanBregt_2012_th_sections_neurons_quantitation,408,Bowenkamp_2000_old_sections_TH_neurons_quantitation,430,0.5
287,Liu_2004_sections_FGF1_neurons_quantitation,366,Liu_2004_sections_FGF2_cells_quantitation,367,0.5
288,Passos_2012_sections_TH_neurons_quantitation,380,Hardman_2002_sections_TH_cells_quantitation,125,0.5
289,Vu_2000_sections_TH_neurons_quantitation,413,Vu_2000_pilot_sections_TH_neurons_quantitation,414,0.5
290,Vu_2000_sections_TH_neurons_quantitation,413,Walker_2012b_sections_Thneg_neurons_quantitation,490,0.5
291,Bowenkamp_2000_adult_sections_TH_neurons_quantitation,429,vanBregt_2012_th_sections_neurons_quantitation,408,0.5
292,Alexi_1996_sections_calb_neurons_quantitation,421,Saraceno_2012_sections_cb_neurons_quantitation,697,0.5
293,Westphal_2016_sections_th_neurons_quantitation,492,vanBregt_2012_th_sections_neurons_quantitation,408,0.5
294,Westphal_2016_sections_th_neurons_quantitation,492,Bowenkamp_2000_old_sections_TH_neurons_quantitation,430,0.5
295,Gritti_2006_sections_ChAT_neurons_quantitation,112,Gritti_2006_sections_cells_quantitation,115,0.5
296,Gritti_2006_sections_ChAT_neurons_quantitation,112,Gritti_2006_sections_GAD_neurons_quantitation,113,0.5
297,Gritti_2006_sections_GAD_neurons_quantitation,113,Gritti_2006_sections_cells_quantitation,115,0.5
298,Gritti_2006_sections_GAD_neurons_quantitation,113,Gritti_2006_sections_ChAT_neurons_quantitation,112,0.5
299,Gritti_2006_sections_cells_quantitation,115,Gritti_2006_sections_GAD_neurons_quantitation,113,0.5
300,Gritti_2006_sections_PAG_neurons_quantitation,114,Gritti_2006_sections_GAD_neurons_quantitation,113,0.5
301,Panneton_2010_sections_nissl_neurons_quantitation,379,Omelchenko_2016_sections_TH_neurons_quantitation,471,0.5
