"ID";"Microscopy_details_name";"Microscope";"Mounting_medium";"Refraction_medium";"Numerical_aperture";"Objective_lens";"Total_magnification";"Pixel size";"Z_stack";"Optical_slice_size"
94;"Smeyne_2005_LFMdetails";2;51;"Unspecified";;"40X";"Unspecified";;0;"N/A"
95;"Zaborszky_2001_LFMdetails";2;69;"Unspecified";"1,3";"100X";"Unspecified";;0;"N/A"
96;"Barcia_2012_LFMdetails";2;52;"Unspecified";;"20X";"Unspecified";;0;"N/A"
97;"Sadek_2007_LFMdetails";2;52;"Oil";;"100X";"Unspecified";;0;"N/A"
98;"Allen_ISH_LFMdetails";2;192;"Unspecified";;"20X";"Unspecified";"1";0;"N/A"
99;"MBA Cell Type Atlas_LFMdetails";1;192;"Unspecified";;"Unspecified";"Unspecified";"1";0;"N/A"
100;"NMO_Kellendonk_2013_LFMdetails";2;52;"Oil";;"63X";"Unspecified";;0;"N/A"
101;"NMO_Martone_2008_MSN_neurons_morphology_25x_LFMdetails";16;52;"Oil";;"25X";"Unspecified";;0;"N/A"
102;"NMO_Martone_2008_MSN_neurons_morphology_63x_LFMdetails";16;52;"Oil";;"63X";"Unspecified";;0;"N/A"
103;"NMO_Martone_2006_slices_MSN_neurons_morphology_LFMdetails";16;52;"Water";;"60X";"Unspecified";;0;"N/A"
104;"NMO_Spiga_2014_LFMdetails";16;52;"Oil";;"100X";"Unspecified";;0;"N/A"
105;"NMO_Henny_2013_sections_TH_neurons_morphology_LFMdetails";16;52;"Oil";;"100X";"Unspecified";;0;"N/A"
106;"Aguirre_2001_LFMdetails";2;198;"Unspecified";;"Unspecified";"Unspecified";;1;"0,5"
107;"Becker_2017_LFMdetails";1;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
108;"Champy_2003_LFMdetails";2;52;"Unspecified";;"Unspecified";;;0;"N/A"
109;"Chan_1997_LFMdetails";2;198;"Oil";"1,4";"100X";"Unspecified";;1;"0,5"
110;"Frau_2011_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
111;"Gomide_2009_LFMdetails";2;52;"Oil";"1,4";"100X";"Unspecified";;0;"N/A"
112;"Gonzales-Aparicio_2011_LFMdetails";2;69;"Unspecified";;"20X";"Unspecified";;1;"0,5"
113;"Grieb_2013_LFMdetails";2;200;"Air";"0,75";"40X";"Unspecified";;0;"N/A"
114;"Gross_2003_LFMdetails";2;52;"Unspecified";;"Unspecified";;;0;"N/A"
115;"Hermann_2013_LFMdetails";1;52;"Oil";"1,3";"40X";"Unspecified";;0;"N/A"
116;"Horvath_2011_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
117;"Ip_2017_imageJ_LFMdetails";2;52;"Unspecified";;"63X";"630X";;0;"N/A"
118;"Ip_2017_stereology_LFMdetails";2;52;"Unspecified";"1,25";"Unspecified";"Unspecified";;0;"N/A"
119;"Janis_2008_LFMdetails";2;52;"Unspecified";;"20X";"Unspecified";;0;"N/A"
120;"Johnson_2010_LFMdetails";2;52;"Oil";"1,3";"100X";"Unspecified";;0;"N/A"
121;"Johnson_2010b_LFMdetails";2;52;"Oil";"1,3";"100X";"Unspecified";;0;"N/A"
