"ID";"Specimen";"Reporter";"Order";"Concentration";"Time";"Temperature"
203;266;104;"Primary";"1:8000";"12";4
204;268;105;"Primary";"1:1000";"12";4
205;266;167;"Secondary";;;
206;268;167;"Secondary";;;
207;267;167;"Secondary";;;
208;272;107;"Primary";"1:10000";"15";21
209;272;108;"Primary";"1:6000";"15";21
210;272;50;"Secondary";"1:200";"1";21
211;272;50;"Secondary";"1:200";"1";21
212;276;109;"Primary";"1:500";"12";4
213;276;50;"Secondary";"1:200";"1";21
214;280;110;"Primary";"1:1500";"48";4
215;280;167;"Secondary";"1:400";;21
216;286;111;"Primary";"1:1000";"48";4
217;286;112;"Secondary";"1:100";"2";
218;296;37;"Primary";"1:1500";;
219;297;37;"Primary";"1:1500";;
220;298;37;"Primary";"1:1500";;
221;299;37;"Primary";"1:1500";;
222;296;167;"Secondary";;;
223;297;167;"Secondary";;;
224;298;167;"Secondary";;;
225;299;167;"Secondary";;;
226;302;113;"Primary";"1:200";"72";4
227;302;114;"Secondary";"1:200";;
228;303;113;"Primary";"1:200";"72";4
229;303;114;"Secondary";"1:200";;
230;305;115;"Primary";"1:10000";"0,4";35
231;305;167;"Secondary";"1:500";"0,5";35
232;306;116;"Primary";"1:250";;
233;306;91;"Secondary";;;
234;307;161;"Primary";"1×10^7 dpm/ml";"12";58
235;307;162;"Primary";"1×10^7 dpm/ml";"12";58
236;307;46;"Secondary";;;
237;309;158;"Primary";"2 pmol probe/ml";"40";37
239;318;117;"Primary";"1:500";"12";21
240;321;118;"Primary";"1:500";"12";21
241;322;119;"Primary";"1:500";"12";21
242;318;120;"Secondary";;"1";21
243;321;175;"Secondary";;"1";21
244;322;175;"Secondary";;"1";21
245;324;121;"Primary";"1:200";"12";4
246;325;122;"Primary";"1:200";"12";4
247;324;167;"Secondary";"1:200";"1";21
249;325;167;"Secondary";"1:200";"1";21
250;330;123;"Primary";"1:1000";;
251;329;125;"Primary";"1:2000";;
252;328;124;"Primary";"1:1000";;
253;332;126;"Primary";"1:1000";"16";21
254;332;172;"Secondary";"1:200";"1,5";
255;334;128;"Primary";"1:250";;
256;336;37;"Primary";;;
257;338;96;"Primary";"1:3000";"12";4
258;338;39;"Secondary";"1:300";"1";21
259;342;51;"Primary";"1:1000";"15";4
260;344;51;"Primary";"1:1000";"15";4
261;353;37;"Primary";"1:1000";"1";41
262;354;37;"Primary";"1:1000";"1";41
263;355;37;"Primary";"1:1000";"1";41
264;356;37;"Primary";"1:1000";"1";41
265;357;37;"Primary";"1:1000";"1";41
266;358;37;"Primary";"1:1000";"1";41
267;359;37;"Primary";"1:1000";"1";41
268;360;37;"Primary";"1:1000";"1";41
269;387;129;"Primary";"1:250";"12";21
270;388;129;"Primary";"1:250";"12";21
