"ID";"Specimen";"Reporter";"Order";"Concentration";"Time";"Temperature"
741;1122;41;"Primary";;;
742;1121;257;"Primary";;;
743;1126;277;"Primary";"1:100000";;
744;1127;277;"Primary";"1:100000";;
745;1128;277;"Primary";"1:100000";;
746;1132;278;"Primary";"1:1000";"22";
747;1132;112;"Secondary";"1:100";"2";
748;1140;279;"Primary";"1:100";;
749;1142;228;"Primary";"1:1000";"12";21
750;1141;280;"Primary";"1:1000";"12";21
751;1144;247;"Primary";"1:2000";"12";21
752;1143;248;"Primary";"1:100";"12";21
753;1143;265;"Secondary";"1:200";;
754;1144;265;"Secondary";"1:200";;
755;1141;265;"Secondary";"1:200";;
756;1142;265;"Secondary";"1:200";;
757;1142;279;"Primary";"1:100";"12";21
758;1141;279;"Primary";"1:100";"12";21
759;1144;279;"Primary";"1:100";"12";21
760;1143;279;"Primary";"1:100";"12";21
761;1143;265;"Secondary";"1:200";;
762;1144;265;"Secondary";"1:200";;
763;1141;265;"Secondary";"1:200";;
764;1142;265;"Secondary";"1:200";;
765;1153;282;"Primary";"1:100";"24";21
766;1154;282;"Primary";"1:100";"24";21
767;1155;281;"Primary";"1:15000";"24";21
768;1155;167;"Secondary";"1:200";"1,5";21
769;1154;238;"Secondary";"1:200";"1,5";21
770;1153;238;"Secondary";"1:200";"1,5";21
771;1160;283;"Primary";;"18";42
772;1161;283;"Primary";;"18";42
773;1162;283;"Primary";;"18";42
774;1163;283;"Primary";;"18";42
775;1160;46;"Secondary";"1:500";"2";37
776;1161;46;"Secondary";"1:500";"2";37
777;1162;46;"Secondary";"1:500";"2";37
778;1163;46;"Secondary";"1:500";"2";37
779;1169;284;"Primary";"1:500";"48";4
780;1169;286;"Secondary";"1:100";"3";21
781;1170;285;"Primary";"1:200";"48";4
782;1170;287;"Secondary";"1:100";"3";21
783;1174;124;"Primary";"1:1000";;
784;1175;69;"Primary";"1:100";;
