"ID";"Paper";"Decision";"Region_considered"
2930;373;"Excluded: Data not possible to normalize";"Substantia nigra"
2931;374;"Excluded: No english version available";"Substantia nigra"
2932;375;"Excluded: No data of interest";"Substantia nigra"
2933;376;"Excluded: No data of interest";"Substantia nigra"
2934;377;"Excluded: No english version available";"Substantia nigra"
2935;378;"Excluded: Data not possible to normalize";"Substantia nigra"
2936;379;"Excluded: Data not possible to normalize";"Substantia nigra"
2937;380;"Excluded: No quantitative information";"Substantia nigra"
2938;381;"Excluded: Review";"Substantia nigra"
2939;382;"Excluded: No access to paper";"Substantia nigra"
2940;383;"Excluded: No data of interest";"Substantia nigra"
2941;384;"Excluded: No data of interest";"Substantia nigra"
2942;385;"Excluded: No quantitative information";"Substantia nigra"
2943;386;"Excluded: Data not possible to normalize";"Substantia nigra"
2944;387;"Excluded: No quantitative information";"Substantia nigra"
2945;388;"Excluded: Data not possible to normalize";"Substantia nigra"
2946;389;"Excluded: No data of interest";"Substantia nigra"
2947;390;"Excluded: No data of interest";"Substantia nigra"
2948;391;"Excluded: No quantitative information";"Substantia nigra"
2949;392;"Excluded: No data of interest";"Substantia nigra"
2950;393;"Excluded: No english version available";"Substantia nigra"
2951;394;"Excluded: No data of interest";"Substantia nigra"
2952;395;"Excluded: No data of interest";"Substantia nigra"
2953;396;"Excluded: Treated animals only";"Substantia nigra"
2954;397;"Excluded: No data of interest";"Substantia nigra"
2955;398;"Excluded: Treated animals only";"Substantia nigra"
2956;399;"Excluded: Data not possible to normalize";"Substantia nigra"
2957;400;"Excluded: No quantitative information";"Substantia nigra"
2958;401;"Already included";"Substantia nigra"
2959;402;"Excluded: No access to paper";"Substantia nigra"
2960;403;"Excluded: Data in graphs only";"Substantia nigra"
2961;404;"Excluded: No data of interest";"Substantia nigra"
2962;405;"Excluded: No data of interest";"Substantia nigra"
2963;406;"Excluded: No data of interest";"Substantia nigra"
2964;407;"Excluded: No data of interest";"Substantia nigra"
2965;408;"Excluded: Data not possible to normalize";"Substantia nigra"
2966;409;"Excluded: No quantitative information";"Substantia nigra"
2967;410;"Excluded: No data of interest";"Substantia nigra"
2968;411;"Excluded: No data of interest";"Substantia nigra"
2969;412;"Excluded: No data of interest";"Substantia nigra"
2970;413;"Excluded: No quantitative information";"Substantia nigra"
2971;414;"Excluded: No data of interest";"Substantia nigra"
2972;415;"Excluded: Treated animals only";"Substantia nigra"
2973;416;"Excluded: No access to paper";"Substantia nigra"
2974;417;"Excluded: Treated animals only";"Substantia nigra"
2975;418;"Excluded: No quantitative information";"Substantia nigra"
2976;419;"Excluded: No quantitative information";"Substantia nigra"
2977;420;"Excluded: No quantitative information";"Substantia nigra"
2978;421;"Excluded: Treated animals only";"Substantia nigra"
2979;422;"Excluded: Data in graphs only";"Substantia nigra"
2980;423;"Included";"Substantia nigra"
2981;424;"Excluded: No data of interest";"Substantia nigra"
2982;425;"Excluded: Data not possible to normalize";"Substantia nigra"
2983;426;"Included";"Substantia nigra"
2984;427;"Excluded: No data of interest";"Substantia nigra"
2985;428;"Excluded: No quantitative information";"Substantia nigra"
2986;429;"Excluded: No quantitative information";"Substantia nigra"
2987;430;"Excluded: Data not possible to normalize";"Substantia nigra"
2988;431;"Excluded: No data of interest";"Substantia nigra"
2989;432;"Excluded: No data of interest";"Substantia nigra"
2990;433;"Excluded: Data not possible to normalize";"Substantia nigra"
2991;434;"Excluded: No data of interest";"Substantia nigra"
2992;435;"Excluded: No data of interest";"Substantia nigra"
2993;436;"Excluded: No data of interest";"Substantia nigra"
2994;437;"Excluded: No data of interest";"Substantia nigra"
2995;438;"Excluded: Treated animals only";"Substantia nigra"
2996;439;"Excluded: Data not possible to normalize";"Substantia nigra"
2997;440;"Excluded: Treated animals only";"Substantia nigra"
2998;441;"Excluded: No data of interest";"Substantia nigra"
2999;442;"Excluded: No data of interest";"Substantia nigra"
3000;443;"Excluded: Data in graphs only";"Substantia nigra"
3001;444;"Excluded: No data of interest";"Substantia nigra"
3002;445;"Included";"Substantia nigra"
3003;446;"Excluded: Data not possible to normalize";"Substantia nigra"
3004;447;"Excluded: Data not possible to normalize";"Substantia nigra"
3005;448;"Excluded: No quantitative information";"Substantia nigra"
3006;449;"Excluded: Treated animals only";"Substantia nigra"
3007;450;"Excluded: No quantitative information";"Substantia nigra"
3008;451;"Excluded: Treated animals only";"Substantia nigra"
3009;452;"Excluded: No data of interest";"Substantia nigra"
3010;453;"Excluded: Data not possible to normalize";"Substantia nigra"
3011;454;"Excluded: Data not possible to normalize";"Substantia nigra"
3012;455;"Excluded: No english version available";"Substantia nigra"
3013;456;"Excluded: Data in graphs only";"Substantia nigra"
3014;457;"Excluded: No data of interest";"Substantia nigra"
3015;458;"Excluded: Data not possible to normalize";"Substantia nigra"
3016;459;"Excluded: No english version available";"Substantia nigra"
3017;460;"Excluded: No data of interest";"Substantia nigra"
3018;461;"Excluded: No data of interest";"Substantia nigra"
3019;462;"Excluded: Data not possible to normalize";"Substantia nigra"
3020;463;"Excluded: Data not possible to normalize";"Substantia nigra"
3021;464;"Excluded: Data not possible to normalize";"Substantia nigra"
3022;465;"Excluded: Treated animals only";"Substantia nigra"
3023;466;"Excluded: Data not possible to normalize";"Substantia nigra"
3024;467;"Excluded: Data not shown";"Substantia nigra"
3025;468;"Excluded: No data of interest";"Substantia nigra"
3026;469;"Excluded: No data of interest";"Substantia nigra"
3027;470;"Excluded: Data in graphs only";"Substantia nigra"
3028;471;"Excluded: No data of interest";"Substantia nigra"
3029;472;"Excluded: Data not possible to normalize";"Substantia nigra"
3030;473;"Excluded: No quantitative information";"Substantia nigra"
3031;474;"Excluded: Data in graphs only";"Substantia nigra"
3032;475;"Excluded: Data not possible to normalize";"Substantia nigra"
3033;476;"Excluded: Data not possible to normalize";"Substantia nigra"
3034;477;"Excluded: No data of interest";"Substantia nigra"
3035;478;"Already included";"Substantia nigra"
3036;479;"Excluded: No data of interest";"Substantia nigra"
3037;480;"Excluded: Data not possible to normalize";"Substantia nigra"
3038;481;"Included";"Substantia nigra"
3039;482;"Excluded: Data not possible to normalize";"Substantia nigra"
3040;483;"Already included";"Substantia nigra"
3041;484;"Excluded: No quantitative information";"Substantia nigra"
3042;485;"Excluded: No quantitative information";"Substantia nigra"
3043;486;"Excluded: No quantitative information";"Substantia nigra"
3044;487;"Excluded: No quantitative information";"Substantia nigra"
3045;488;"Excluded: No data of interest";"Substantia nigra"
3046;489;"Excluded: No quantitative information";"Substantia nigra"
3047;490;"Excluded: No english version available";"Substantia nigra"
3048;491;"Excluded: No quantitative information";"Substantia nigra"
3049;492;"Excluded: No english version available";"Substantia nigra"
3050;493;"Excluded: Data not possible to normalize";"Substantia nigra"
3051;494;"Excluded: No data of interest";"Substantia nigra"
3052;495;"Excluded: Treated animals only";"Substantia nigra"
3053;496;"Excluded: No data of interest";"Substantia nigra"
3054;497;"Excluded: No quantitative information";"Substantia nigra"
3055;498;"Excluded: No data of interest";"Substantia nigra"
3056;499;"Excluded: No quantitative information";"Substantia nigra"
3057;500;"Excluded: No data of interest";"Substantia nigra"
3058;501;"Excluded: No quantitative information";"Substantia nigra"
3059;502;"Excluded: No quantitative information";"Substantia nigra"
3060;503;"Excluded: No data of interest";"Substantia nigra"
3061;504;"Excluded: No data of interest";"Substantia nigra"
3062;505;"Excluded: No quantitative information";"Substantia nigra"
3063;506;"Excluded: Data not possible to normalize";"Substantia nigra"
3064;507;"Excluded: No quantitative information";"Substantia nigra"
3065;508;"Excluded: Data in graphs only";"Substantia nigra"
3066;509;"Excluded: No quantitative information";"Substantia nigra"
3067;510;"Excluded: No data of interest";"Substantia nigra"
3068;511;"Excluded: No data of interest";"Substantia nigra"
3069;512;"Excluded: Data not possible to normalize";"Substantia nigra"
3070;513;"Excluded: No data of interest";"Substantia nigra"
3071;514;"Already included";"Substantia nigra"
3072;515;"Excluded: Data in graphs only";"Substantia nigra"
3073;516;"Excluded: No data of interest";"Substantia nigra"
3074;517;"Already included";"Substantia nigra"
3075;518;"Excluded: No data of interest";"Substantia nigra"
3076;519;"Excluded: No quantitative information";"Substantia nigra"
3077;520;"Excluded: Treated animals only";"Substantia nigra"
3078;521;"Excluded: Data not possible to normalize";"Substantia nigra"
3079;522;"Excluded: Treated animals only";"Substantia nigra"
3080;523;"Excluded: No english version available";"Substantia nigra"
3081;524;"Excluded: No quantitative information";"Substantia nigra"
3082;525;"Excluded: No quantitative information";"Substantia nigra"
3083;526;"Excluded: No data of interest";"Substantia nigra"
3084;527;"Excluded: No data of interest";"Substantia nigra"
3085;528;"Excluded: No data of interest";"Substantia nigra"
3086;529;"Excluded: No english version available";"Substantia nigra"
3087;530;"Excluded: No quantitative information";"Substantia nigra"
3088;531;"Excluded: Treated animals only";"Substantia nigra"
3089;532;"Excluded: Data not possible to normalize";"Substantia nigra"
3090;533;"Excluded: No quantitative information";"Substantia nigra"
3091;534;"Excluded: Data not possible to normalize";"Substantia nigra"
3092;535;"Excluded: No quantitative information";"Substantia nigra"
3093;536;"Excluded: Review";"Substantia nigra"
3094;537;"Excluded: No quantitative information";"Substantia nigra"
3095;538;"Excluded: Data not possible to normalize";"Substantia nigra"
3096;539;"Excluded: No data of interest";"Substantia nigra"
3097;540;"Excluded: No quantitative information";"Substantia nigra"
3099;542;"Excluded: No data of interest";"Substantia nigra"
3100;543;"Excluded: No english version available";"Substantia nigra"
3101;544;"Excluded: No quantitative information";"Substantia nigra"
3102;545;"Excluded: No access to paper";"Substantia nigra"
3103;546;"Excluded: No quantitative information";"Substantia nigra"
3104;547;"Excluded: No quantitative information";"Substantia nigra"
3105;548;"Excluded: No data of interest";"Substantia nigra"
3106;549;"Excluded: Treated animals only";"Substantia nigra"
3107;550;"Excluded: No access to paper";"Substantia nigra"
3108;551;"Excluded: Data not possible to normalize";"Substantia nigra"
3109;552;"Already included";"Substantia nigra"
3110;554;"Excluded: Data in graphs only";"Substantia nigra"
3111;555;"Excluded: No data of interest";"Substantia nigra"
3112;556;"Excluded: Data in graphs only";"Substantia nigra"
3113;557;"Excluded: No data of interest";"Substantia nigra"
3114;558;"Excluded: No quantitative information";"Substantia nigra"
3115;559;"Excluded: No quantitative information";"Substantia nigra"
3116;560;"Excluded: Treated animals only";"Substantia nigra"
3117;561;"Excluded: No quantitative information";"Substantia nigra"
3118;562;"Excluded: No quantitative information";"Substantia nigra"
3119;563;"Excluded: Data not possible to normalize";"Substantia nigra"
3120;564;"Excluded: No quantitative information";"Substantia nigra"
3121;565;"Excluded: No english version available";"Substantia nigra"
3122;566;"Excluded: No quantitative information";"Substantia nigra"
3123;567;"Excluded: Treated animals only";"Substantia nigra"
3124;568;"Already included";"Substantia nigra"
3125;569;"Excluded: No quantitative information";"Substantia nigra"
3126;570;"Excluded: No data of interest";"Substantia nigra"
3127;571;"Excluded: No quantitative information";"Substantia nigra"
3128;572;"Excluded: No quantitative information";"Substantia nigra"
3129;573;"Excluded: No quantitative information";"Substantia nigra"
3130;574;"Excluded: Data not possible to normalize";"Substantia nigra"
3131;575;"Excluded: Data not possible to normalize";"Substantia nigra"
3132;576;"Excluded: No quantitative information";"Substantia nigra"
3133;577;"Excluded: No quantitative information";"Substantia nigra"
3134;578;"Excluded: Treated animals only";"Substantia nigra"
3135;579;"Excluded: No data of interest";"Substantia nigra"
3136;580;"Excluded: No access to paper";"Substantia nigra"
3137;581;"Excluded: No quantitative information";"Substantia nigra"
3138;582;"Excluded: No data of interest";"Substantia nigra"
3139;583;"Excluded: Review";"Substantia nigra"
3140;584;"Excluded: Data not possible to normalize";"Substantia nigra"
3141;585;"Excluded: Data not possible to normalize";"Substantia nigra"
3142;586;"Excluded: Treated animals only";"Substantia nigra"
3143;587;"Excluded: No quantitative information";"Substantia nigra"
3144;588;"Excluded: Data not possible to normalize";"Substantia nigra"
3145;589;"Excluded: No data of interest";"Substantia nigra"
3146;590;"Excluded: No quantitative information";"Substantia nigra"
3147;591;"Excluded: No quantitative information";"Substantia nigra"
3148;592;"Excluded: No quantitative information";"Substantia nigra"
3149;593;"Already included";"Substantia nigra"
3150;594;"Excluded: No data of interest";"Substantia nigra"
3151;595;"Excluded: No data of interest";"Substantia nigra"
3152;596;"Excluded: No data of interest";"Substantia nigra"
3153;597;"Excluded: No data of interest";"Substantia nigra"
3154;598;"Excluded: No quantitative information";"Substantia nigra"
3155;599;"Excluded: No quantitative information";"Substantia nigra"
3156;600;"Excluded: No quantitative information";"Substantia nigra"
3157;601;"Excluded: No data of interest";"Substantia nigra"
3158;602;"Excluded: Data not possible to normalize";"Substantia nigra"
3159;603;"Excluded: No data of interest";"Substantia nigra"
3160;604;"Excluded: No data of interest";"Substantia nigra"
3161;605;"Excluded: Data not possible to normalize";"Substantia nigra"
3162;606;"Included";"Substantia nigra"
3163;607;"Already included";"Substantia nigra"
3164;608;"Excluded: No quantitative information";"Substantia nigra"
3165;609;"Excluded: Data not possible to normalize";"Substantia nigra"
3166;610;"Excluded: Data not possible to normalize";"Substantia nigra"
3167;611;"Excluded: No quantitative information";"Substantia nigra"
3168;612;"Excluded: No data of interest";"Substantia nigra"
3169;613;"Excluded: No data of interest";"Substantia nigra"
3170;614;"Excluded: Data in graphs only";"Substantia nigra"
3171;615;"Excluded: No data of interest";"Substantia nigra"
3172;616;"Excluded: No data of interest";"Substantia nigra"
3173;617;"Excluded: No quantitative information";"Substantia nigra"
3174;618;"Excluded: No data of interest";"Substantia nigra"
3175;619;"Excluded: No quantitative information";"Substantia nigra"
3176;620;"Excluded: No quantitative information";"Substantia nigra"
3177;621;"Excluded: No data of interest";"Substantia nigra"
3178;622;"Excluded: Data not possible to normalize";"Substantia nigra"
3179;623;"Excluded: Treated animals only";"Substantia nigra"
3180;624;"Excluded: No quantitative information";"Substantia nigra"
3181;625;"Excluded: No data of interest";"Substantia nigra"
3182;626;"Excluded: No data of interest";"Substantia nigra"
3183;627;"Excluded: No data of interest";"Substantia nigra"
3184;628;"Excluded: Data not possible to normalize";"Substantia nigra"
3185;629;"Excluded: Review";"Substantia nigra"
3186;630;"Excluded: No quantitative information";"Substantia nigra"
3187;631;"Excluded: No data of interest";"Substantia nigra"
3188;632;"Excluded: No quantitative information";"Substantia nigra"
3189;633;"Excluded: No english version available";"Substantia nigra"
3190;634;"Excluded: No quantitative information";"Substantia nigra"
3191;635;"Excluded: No quantitative information";"Substantia nigra"
3192;636;"Excluded: No data of interest";"Substantia nigra"
3193;637;"Already included";"Substantia nigra"
3194;638;"Excluded: Data not possible to normalize";"Substantia nigra"
3195;639;"Excluded: No access to paper";"Substantia nigra"
3196;640;"Excluded: Data in graphs only";"Substantia nigra"
3197;641;"Included";"Substantia nigra"
3198;642;"Excluded: Data not possible to normalize";"Substantia nigra"
3199;643;"Excluded: No data of interest";"Substantia nigra"
3200;644;"Excluded: No data of interest";"Substantia nigra"
3201;645;"Excluded: No data of interest";"Substantia nigra"
3202;646;"Excluded: No data of interest";"Substantia nigra"
3203;647;"Excluded: Data in graphs only";"Substantia nigra"
3204;648;"Excluded: Treated animals only";"Substantia nigra"
3205;649;"Excluded: Data in graphs only";"Substantia nigra"
3206;650;"Excluded: No quantitative information";"Substantia nigra"
3207;651;"Excluded: Data in graphs only";"Substantia nigra"
3208;652;"Excluded: Data in graphs only";"Substantia nigra"
3209;653;"Excluded: No quantitative information";"Substantia nigra"
3210;654;"Excluded: No data of interest";"Substantia nigra"
3211;655;"Excluded: No quantitative information";"Substantia nigra"
3212;656;"Excluded: No data of interest";"Substantia nigra"
3213;657;"Excluded: No data of interest";"Substantia nigra"
3214;658;"Excluded: No data of interest";"Substantia nigra"
3215;659;"Excluded: No data of interest";"Substantia nigra"
3216;660;"Excluded: Data not possible to normalize";"Substantia nigra"
3217;661;"Excluded: No data of interest";"Substantia nigra"
3218;662;"Excluded: Data in graphs only";"Substantia nigra"
3219;663;"Excluded: No data of interest";"Substantia nigra"
3220;664;"Excluded: No data of interest";"Substantia nigra"
3221;665;"Excluded: No data of interest";"Substantia nigra"
3222;666;"Excluded: No quantitative information";"Substantia nigra"
3223;667;"Excluded: No data of interest";"Substantia nigra"
3224;668;"Excluded: No quantitative information";"Substantia nigra"
3225;669;"Excluded: No data of interest";"Substantia nigra"
3226;670;"Excluded: No quantitative information";"Substantia nigra"
3227;671;"Excluded: No quantitative information";"Substantia nigra"
3228;672;"Excluded: No data of interest";"Substantia nigra"
3229;673;"Included";"Substantia nigra"
3230;675;"Excluded: Data in graphs only";"Substantia nigra"
3231;674;"Excluded: Data in graphs only";"Substantia nigra"
3232;676;"Excluded: No data of interest";"Substantia nigra"
3233;677;"Excluded: No quantitative information";"Substantia nigra"
3234;678;"Excluded: No english version available";"Substantia nigra"
3235;679;"Excluded: No data of interest";"Substantia nigra"
3236;680;"Excluded: No data of interest";"Substantia nigra"
3237;681;"Excluded: Treated animals only";"Substantia nigra"
3238;683;"Excluded: No data of interest";"Substantia nigra"
3239;682;"Excluded: No data of interest";"Substantia nigra"
3240;684;"Excluded: Treated animals only";"Substantia nigra"
3241;685;"Excluded: No data of interest";"Substantia nigra"
3242;686;"Excluded: No data of interest";"Substantia nigra"
3243;687;"Excluded: Data in graphs only";"Substantia nigra"
3244;688;"Included";"Substantia nigra"
3245;689;"Excluded: Data not possible to normalize";"Substantia nigra"
3246;690;"Excluded: Data not possible to normalize";"Substantia nigra"
3247;691;"Excluded: Data not possible to normalize";"Substantia nigra"
3248;692;"Excluded: No quantitative information";"Substantia nigra"
3249;693;"Excluded: Data not possible to normalize";"Substantia nigra"
3250;694;"Excluded: Data not possible to normalize";"Substantia nigra"
3251;695;"Excluded: Data in graphs only";"Substantia nigra"
3252;696;"Excluded: Data in graphs only";"Substantia nigra"
3253;697;"Excluded: No access to paper";"Substantia nigra"
3254;698;"Excluded: Data in graphs only";"Substantia nigra"
3255;699;"Excluded: No data of interest";"Substantia nigra"
3256;700;"Excluded: Review";"Substantia nigra"
3257;701;"Excluded: No quantitative information";"Substantia nigra"
3258;702;"Already included";"Substantia nigra"
3259;703;"Excluded: No quantitative information";"Substantia nigra"
3260;704;"Excluded: No quantitative information";"Substantia nigra"
3261;705;"Excluded: Data not possible to normalize";"Substantia nigra"
3262;706;"Already included";"Substantia nigra"
3263;707;"Excluded: Treated animals only";"Substantia nigra"
3264;708;"Excluded: No data of interest";"Substantia nigra"
3265;709;"Excluded: No data of interest";"Substantia nigra"
3266;710;"Excluded: Data not possible to normalize";"Substantia nigra"
3267;711;"Included";"Substantia nigra"
3268;712;"Excluded: Treated animals only";"Substantia nigra"
3269;713;"Excluded: No data of interest";"Substantia nigra"
3270;714;"Excluded: Data in graphs only";"Substantia nigra"
3271;715;"Excluded: Data in graphs only";"Substantia nigra"
3272;716;"Excluded: Data not possible to normalize";"Substantia nigra"
3273;717;"Excluded: No quantitative information";"Substantia nigra"
3274;718;"Excluded: No data of interest";"Substantia nigra"
3275;719;"Excluded: No data of interest";"Substantia nigra"
3276;720;"Excluded: No english version available";"Substantia nigra"
3277;721;"Excluded: Data in graphs only";"Substantia nigra"
3278;722;"Excluded: Treated animals only";"Substantia nigra"
3279;723;"Excluded: No quantitative information";"Substantia nigra"
3280;724;"Excluded: No data of interest";"Substantia nigra"
3281;725;"Excluded: Data not possible to normalize";"Substantia nigra"
3282;726;"Excluded: No data of interest";"Substantia nigra"
3283;727;"Excluded: No data of interest";"Substantia nigra"
3284;728;"Included";"Substantia nigra"
3285;729;"Excluded: Treated animals only";"Substantia nigra"
3286;730;"Already included";"Substantia nigra"
3287;731;"Excluded: No data of interest";"Substantia nigra"
3288;732;"Excluded: No data of interest";"Substantia nigra"
3289;733;"Excluded: Data not possible to normalize";"Substantia nigra"
3290;734;"Excluded: No quantitative information";"Substantia nigra"
3291;735;"Excluded: No data of interest";"Substantia nigra"
3292;736;"Excluded: Data not possible to normalize";"Substantia nigra"
3293;737;"Excluded: Data in graphs only";"Substantia nigra"
3294;738;"Excluded: No quantitative information";"Substantia nigra"
3295;739;"Excluded: No access to paper";"Substantia nigra"
3296;740;"Excluded: No data of interest";"Substantia nigra"
3297;741;"Excluded: Treated animals only";"Substantia nigra"
3298;742;"Excluded: No quantitative information";"Substantia nigra"
3299;743;"Excluded: Data not possible to normalize";"Substantia nigra"
3300;744;"Excluded: Treated animals only";"Substantia nigra"
3301;745;"Excluded: No data of interest";"Substantia nigra"
3302;746;"Excluded: No data of interest";"Substantia nigra"
3303;747;"Excluded: No quantitative information";"Substantia nigra"
3304;748;"Excluded: Treated animals only";"Substantia nigra"
3305;749;"Excluded: No data of interest";"Substantia nigra"
3306;751;"Excluded: No quantitative information";"Substantia nigra"
3307;750;"Excluded: No quantitative information";"Substantia nigra"
3308;752;"Excluded: No quantitative information";"Substantia nigra"
3309;753;"Excluded: Data not possible to normalize";"Substantia nigra"
3310;754;"Excluded: No quantitative information";"Substantia nigra"
3311;755;"Excluded: Data in graphs only";"Substantia nigra"
3312;756;"Excluded: No data of interest";"Substantia nigra"
3313;757;"Excluded: Data not possible to normalize";"Substantia nigra"
3314;758;"Excluded: No data of interest";"Substantia nigra"
3315;759;"Excluded: Data not shown";"Substantia nigra"
3316;760;"Excluded: Data in graphs only";"Substantia nigra"
3317;761;"Excluded: No data of interest";"Substantia nigra"
3318;762;"Excluded: No quantitative information";"Substantia nigra"
3319;763;"Excluded: No quantitative information";"Substantia nigra"
3320;764;"Excluded: No access to paper";"Substantia nigra"
3321;765;"Excluded: No quantitative information";"Substantia nigra"
3322;766;"Excluded: No data of interest";"Substantia nigra"
3323;767;"Excluded: Data not possible to normalize";"Substantia nigra"
3324;768;"Excluded: Data not possible to normalize";"Substantia nigra"
3325;769;"Excluded: No data of interest";"Substantia nigra"
3326;770;"Excluded: No data of interest";"Substantia nigra"
3327;771;"Excluded: No quantitative information";"Substantia nigra"
3328;772;"Excluded: No data of interest";"Substantia nigra"
3329;773;"Excluded: Data in graphs only";"Substantia nigra"
3330;774;"Included";"Substantia nigra"
3331;775;"Excluded: No quantitative information";"Substantia nigra"
3332;776;"Excluded: No quantitative information";"Substantia nigra"
3333;777;"Excluded: Data not possible to normalize";"Substantia nigra"
3334;778;"Excluded: No data of interest";"Substantia nigra"
3335;779;"Excluded: No data of interest";"Substantia nigra"
3336;780;"Excluded: No data of interest";"Substantia nigra"
3337;781;"Excluded: No english version available";"Substantia nigra"
3338;782;"Excluded: Data not possible to normalize";"Substantia nigra"
3339;783;"Excluded: No quantitative information";"Substantia nigra"
3340;784;"Excluded: No data of interest";"Substantia nigra"
3341;785;"Excluded: No data of interest";"Substantia nigra"
3342;786;"Excluded: No data of interest";"Substantia nigra"
3343;787;"Excluded: Data not possible to normalize";"Substantia nigra"
3344;788;"Excluded: No data of interest";"Substantia nigra"
3345;789;"Excluded: No data of interest";"Substantia nigra"
3346;790;"Excluded: Treated animals only";"Substantia nigra"
3347;791;"Excluded: No data of interest";"Substantia nigra"
3348;792;"Excluded: No data of interest";"Substantia nigra"
3349;793;"Excluded: Treated animals only";"Substantia nigra"
3350;794;"Excluded: No quantitative information";"Substantia nigra"
3351;795;"Already included";"Substantia nigra"
3352;796;"Excluded: No data of interest";"Substantia nigra"
3353;797;"Excluded: No data of interest";"Substantia nigra"
3354;798;"Excluded: No data of interest";"Substantia nigra"
3355;799;"Excluded: Data not possible to normalize";"Substantia nigra"
3356;800;"Excluded: Data not possible to normalize";"Substantia nigra"
3357;801;"Excluded: No data of interest";"Substantia nigra"
3358;803;"Excluded: No data of interest";"Substantia nigra"
3359;802;"Excluded: No data of interest";"Substantia nigra"
3360;804;"Excluded: No data of interest";"Substantia nigra"
3361;805;"Excluded: No data of interest";"Substantia nigra"
3362;806;"Excluded: Treated animals only";"Substantia nigra"
3363;807;"Excluded: No data of interest";"Substantia nigra"
3364;808;"Excluded: No data of interest";"Substantia nigra"
3365;809;"Excluded: Data in graphs only";"Substantia nigra"
3366;810;"Excluded: Data not possible to normalize";"Substantia nigra"
3367;811;"Excluded: Data in graphs only";"Substantia nigra"
3368;812;"Excluded: No data of interest";"Substantia nigra"
3369;813;"Excluded: No quantitative information";"Substantia nigra"
3370;814;"Excluded: Treated animals only";"Substantia nigra"
3371;815;"Excluded: No data of interest";"Substantia nigra"
3372;816;"Excluded: No data of interest";"Substantia nigra"
3373;817;"Excluded: No quantitative information";"Substantia nigra"
3374;818;"Included";"Substantia nigra"
3375;819;"Excluded: Data in graphs only";"Substantia nigra"
3376;820;"Excluded: No data of interest";"Substantia nigra"
3377;821;"Excluded: No data of interest";"Substantia nigra"
3378;822;"Excluded: No quantitative information";"Substantia nigra"
3379;823;"Excluded: No data of interest";"Substantia nigra"
3380;824;"Excluded: No quantitative information";"Substantia nigra"
3381;825;"Excluded: No quantitative information";"Substantia nigra"
3382;826;"Excluded: Data not possible to normalize";"Substantia nigra"
3383;828;"Excluded: Data not possible to normalize";"Substantia nigra"
3384;827;"Excluded: Data not possible to normalize";"Substantia nigra"
3385;829;"Excluded: Data in graphs only";"Substantia nigra"
3386;830;"Excluded: Data not possible to normalize";"Substantia nigra"
3387;831;"Excluded: No data of interest";"Substantia nigra"
3388;832;"Excluded: No data of interest";"Substantia nigra"
3389;833;"Excluded: No quantitative information";"Substantia nigra"
3390;834;"Excluded: No data of interest";"Substantia nigra"
3391;835;"Excluded: No data of interest";"Substantia nigra"
3392;836;"Excluded: No data of interest";"Substantia nigra"
3393;837;"Excluded: Treated animals only";"Substantia nigra"
3394;838;"Excluded: Treated animals only";"Substantia nigra"
3395;839;"Included";"Substantia nigra"
3396;840;"Excluded: Data not possible to normalize";"Substantia nigra"
3397;841;"Excluded: Treated animals only";"Substantia nigra"
3398;842;"Excluded: Data not possible to normalize";"Substantia nigra"
3399;843;"Excluded: No quantitative information";"Substantia nigra"
3400;844;"Excluded: No data of interest";"Substantia nigra"
3401;845;"Excluded: No data of interest";"Substantia nigra"
3402;846;"Excluded: Data not possible to normalize";"Substantia nigra"
3403;847;"Excluded: No quantitative information";"Substantia nigra"
3404;848;"Excluded: No data of interest";"Substantia nigra"
3405;849;"Excluded: No quantitative information";"Substantia nigra"
3406;850;"Excluded: No data of interest";"Substantia nigra"
3407;851;"Excluded: Data not possible to normalize";"Substantia nigra"
3408;852;"Excluded: Data not possible to normalize";"Substantia nigra"
3409;853;"Excluded: Data not possible to normalize";"Substantia nigra"
3410;854;"Excluded: Data not possible to normalize";"Substantia nigra"
3411;855;"Included";"Substantia nigra"
3412;856;"Included";"Substantia nigra"
3413;857;"Excluded: Data not possible to normalize";"Substantia nigra"
3414;858;"Excluded: Data in graphs only";"Substantia nigra"
3415;859;"Excluded: Data not possible to normalize";"Substantia nigra"
3416;860;"Excluded: No data of interest";"Substantia nigra"
3417;861;"Excluded: No quantitative information";"Substantia nigra"
3418;862;"Excluded: No quantitative information";"Substantia nigra"
3419;863;"Excluded: Treated animals only";"Substantia nigra"
3420;864;"Excluded: No english version available";"Substantia nigra"
3421;865;"Excluded: Data not possible to normalize";"Substantia nigra"
3422;866;"Excluded: No english version available";"Substantia nigra"
3423;867;"Excluded: Data not possible to normalize";"Substantia nigra"
3424;868;"Excluded: No data of interest";"Substantia nigra"
3425;869;"Excluded: No data of interest";"Substantia nigra"
3426;870;"Excluded: Data in graphs only";"Substantia nigra"
3427;872;"Excluded: Data in graphs only";"Substantia nigra"
3428;871;"Excluded: Data in graphs only";"Substantia nigra"
3429;873;"Excluded: No data of interest";"Substantia nigra"
3430;874;"Excluded: No english version available";"Substantia nigra"
3431;875;"Excluded: No english version available";"Substantia nigra"
3432;876;"Excluded: Data in graphs only";"Substantia nigra"
3433;877;"Excluded: Treated animals only";"Substantia nigra"
3434;878;"Excluded: No quantitative information";"Substantia nigra"
3435;879;"Excluded: No quantitative information";"Substantia nigra"
